name	description	p-value	q-value	phenotype	genes
BIOCARTA_P53HYPOXIA_PATHWAY%MSIGDB_C2%BIOCARTA_P53HYPOXIA_PATHWAY	BIOCARTA_P53HYPOXIA_PATHWAY	5.13972541799913e-05	5.13972541799913e-05	1	TAF1,ATM,CDKN1A,EP300
BIOCARTA_PLK3_PATHWAY%MSIGDB_C2%BIOCARTA_PLK3_PATHWAY	BIOCARTA_PLK3_PATHWAY	4.90890859812717e-05	4.90890859812717e-05	1	CHEK2,ATM,ATR
BIOCARTA_PPARA_PATHWAY%MSIGDB_C2%BIOCARTA_PPARA_PATHWAY	BIOCARTA_PPARA_PATHWAY	0.0093498296417653	0.0093498296417653	1	NCOR1,PIK3R1,RB1,EP300
BIOCARTA_PTEN_PATHWAY%MSIGDB_C2%BIOCARTA_PTEN_PATHWAY	BIOCARTA_PTEN_PATHWAY	0.00099438779005816	0.00099438779005816	1	EGFR,CDKN1B,PIK3R1,PTEN
BIOCARTA_RACCYCD_PATHWAY%MSIGDB_C2%BIOCARTA_RACCYCD_PATHWAY	BIOCARTA_RACCYCD_PATHWAY	0.000174845564086764	0.000174845564086764	1	CCND1,RB1,CDKN1A,CDKN1B,PIK3R1
BIOCARTA_TGFB_PATHWAY%MSIGDB_C2%BIOCARTA_TGFB_PATHWAY	BIOCARTA_TGFB_PATHWAY	2.46532369028147e-05	2.46532369028147e-05	1	SMAD4,TGFBR2,EP300,SMAD2
BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY	BIOCARTA_VDR_PATHWAY	0.00244747546850656	0.00244747546850656	1	ARID1A,NCOR1,EP300
BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY	BIOCARTA_WNT_PATHWAY	0.00244747546850656	0.00244747546850656	1	SMAD4,CCND1,CTNNB1
BLADDER CANCER%WIKIPATHWAYS_20240510%WP2828%HOMO SAPIENS	Bladder cancer	1.2375729761232e-07	1.2375729761232e-07	1	KRAS,FGFR3,CDKN1A,EGFR,CCND1,RB1,CDKN2A,PIK3R1,BRAF,NRAS
BLOOD COAGULATION%GOBP%GO:0007596	blood coagulation	0.0771339653779351	0.0771339653779351	1	PDGFRA,PIK3CG,PIK3CA
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	blood vessel morphogenesis	0.000168793997178539	0.000168793997178539	1	FGFR2,PDGFRA,WT1,CTNNB1,SOX17,EGR3,NOTCH1,TGFBR2,NF1,AKT1
BMP SIGNALING IN EYELID DEVELOPMENT%WIKIPATHWAYS_20240510%WP3927%HOMO SAPIENS	BMP signaling in eyelid development	0.000105561501734914	0.000105561501734914	1	FGFR2,SMAD4,EGFR,MAP3K1,NOTCH1
BMP SIGNALING PATHWAY%GOBP%GO:0030509	BMP signaling pathway	0.0123874748564334	0.0123874748564334	1	ACVR2A,SMAD4,USP9X
BONE DEVELOPMENT%GOBP%GO:0060348	bone development	0.00993343442419251	0.00993343442419251	1	FGFR2,TP53,SOX9,FGFR3
BONE MORPHOGENESIS%GOBP%GO:0060349	bone morphogenesis	0.00831089474275327	0.00831089474275327	1	FGFR2,FGFR3,SOX9
BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE%GOBP%GO:0048754	branching morphogenesis of an epithelial tube	0.00173420518567284	0.00173420518567284	1	FGFR2,TGFBR2,WT1,CTNNB1
BREAST CANCER PATHWAY%WIKIPATHWAYS_20240510%WP4262%HOMO SAPIENS	Breast cancer pathway	7.66814915519119e-11	7.66814915519119e-11	1	RB1,PIK3R1,BRAF,AXIN2,ATR,BRCA2,CDKN1A,NRAS,KIT,KRAS,BRCA1,MTOR,CTNNB1,EGFR,CCND1,PTEN,ATM,NOTCH1
BTG FAMILY PROTEINS AND CELL CYCLE REGULATION%SMPDB%SMP0063773	BTG Family Proteins and Cell Cycle Regulation	0.000339229250178527	0.000339229250178527	1	TP53,RB1,CCND1
BURN WOUND HEALING%WIKIPATHWAYS_20240510%WP5055%HOMO SAPIENS	Burn wound healing	0.00351915387811519	0.00351915387811519	1	FGFR3,FGFR2,HGF,TLR4
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	C-MYB transcription factor network	1.69504440853591e-08	1.69504440853591e-08	1	CDKN1B,CCND1,NRAS,KRAS,CDKN1A,SIN3A,EP300,NCOR1,GATA3,KIT,CEBPA,CDKN2A
CAMERA-TYPE EYE DEVELOPMENT%GOBP%GO:0043010	camera-type eye development	0.0328529625470515	0.0328529625470515	1	PDGFRA,WT1,SOX9,NF1
CAMKK2 PATHWAY%WIKIPATHWAYS_20240510%WP4874%HOMO SAPIENS	CAMKK2 pathway	0.00453255993864549	0.00453255993864549	1	EP300,SMC1A,NFE2L2,MTOR
CANONICAL AND NON CANONICAL TGF B SIGNALING%WIKIPATHWAYS_20240510%WP3874%HOMO SAPIENS	Canonical and non canonical TGF B signaling	0.00113893853030338	0.00113893853030338	1	TGFBR2,SMAD2,SMAD4
CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0060070	canonical Wnt signaling pathway	0.000669067654635368	0.000669067654635368	1	GATA3,LRRK2,AXIN2,CTNNB1,PTEN
CARDIAC CELL DEVELOPMENT%GOBP%GO:0055006	cardiac cell development	0.0113074751559663	0.0113074751559663	1	NOTCH1,PDGFRA,TBX3
CARDIAC CHAMBER DEVELOPMENT%GOBP%GO:0003205	cardiac chamber development	0.00266130124315144	0.00266130124315144	1	FGFR2,SMAD4,GATA3,NOTCH1,TGFBR2
CARDIAC CHAMBER MORPHOGENESIS%GOBP%GO:0003206	cardiac chamber morphogenesis	0.00155560941020477	0.00155560941020477	1	GATA3,FGFR2,SMAD4,NOTCH1,TGFBR2
CARDIAC ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0003348	cardiac endothelial cell differentiation	8.18079380128038e-05	8.18079380128038e-05	1	NOTCH1,SOX17,SMAD4
CARDIAC LEFT VENTRICLE MORPHOGENESIS%GOBP%GO:0003214	cardiac left ventricle morphogenesis	0.000827183712063459	0.000827183712063459	1	SMAD4,NOTCH1,TGFBR2
CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007	cardiac muscle cell differentiation	0.0175681279751538	0.0175681279751538	1	PDGFRA,TBX3,WT1
CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048738	cardiac muscle tissue development	0.00113926123429877	0.00113926123429877	1	FGFR2,PDGFRA,WT1,SMAD4,TBX3,NOTCH1
CARDIAC MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0055008	cardiac muscle tissue morphogenesis	0.0113074751559663	0.0113074751559663	1	FGFR2,NOTCH1,SMAD4
CARDIAC PROGENITOR DIFFERENTIATION%WIKIPATHWAYS_20240510%WP2406%HOMO SAPIENS	Cardiac progenitor differentiation	0.000194617156529571	0.000194617156529571	1	FOXA2,PDGFRA,SOX17,KIT,NOTCH1
CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279	cardiac septum development	0.000511044546085258	0.000511044546085258	1	GATA3,FGFR2,SMAD4,NOTCH1,TGFBR2
CARDIAC SEPTUM MORPHOGENESIS%GOBP%GO:0060411	cardiac septum morphogenesis	0.00192983076685363	0.00192983076685363	1	FGFR2,SMAD4,NOTCH1,TGFBR2
CARDIAC VENTRICLE DEVELOPMENT%GOBP%GO:0003231	cardiac ventricle development	0.00107706058288549	0.00107706058288549	1	GATA3,FGFR2,SMAD4,NOTCH1,TGFBR2
CARDIAC VENTRICLE MORPHOGENESIS%GOBP%GO:0003208	cardiac ventricle morphogenesis	0.000283501582203041	0.000283501582203041	1	GATA3,FGFR2,SMAD4,NOTCH1,TGFBR2
CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051	cardiocyte differentiation	9.89675515267805e-05	9.89675515267805e-05	1	PDGFRA,TBX3,WT1,SMAD4,SOX17,NOTCH1
CARTILAGE DEVELOPMENT%GOBP%GO:0051216	cartilage development	0.0261131992289031	0.0261131992289031	1	SOX9,RUNX1,FGFR3
CD40 CD40L SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CD40 CD40L SIGNALING	CD40 CD40L signaling	0.00739598933889216	0.00739598933889216	1	PIK3CG,PIK3CA,MAP3K1,AKT1,MAP2K4,PIK3R1
CDC42 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CDC42 SIGNALING EVENTS	CDC42 signaling events	8.76793558672657e-05	8.76793558672657e-05	1	APC,PIK3CA,BRAF,MAP3K1,MAP2K4,MTOR,CDH1,CTNNB1,PIK3R1
CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002263	cell activation involved in immune response	0.0878777385576622	0.0878777385576622	1	GATA3,KIT,PIK3CG
CELL CHEMOTAXIS%GOBP%GO:0060326	cell chemotaxis	0.0193232372837436	0.0193232372837436	1	PDGFRA,HGF,KIT,PIK3CG,EGR3
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	cell cycle checkpoint signaling	1.13743737669638e-05	1.13743737669638e-05	1	BRCA1,TP53,APC,CCND1,CHEK2,CDKN1A,CDKN1B,ATM,ATR
CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:0044843	cell cycle G1/S phase transition	0.00261402064317293	0.00261402064317293	1	ACVR1B,CDKN1A,CDKN1B,CCND1
CELL CYCLE PHASE TRANSITION%GOBP%GO:0044770	cell cycle phase transition	0.00596927726767527	0.00596927726767527	1	CCND1,CHEK2,ACVR1B,CDKN1A,CDKN1B
CELL CYCLE%WIKIPATHWAYS_20240510%WP179%HOMO SAPIENS	Cell cycle	5.02924163085835e-14	5.02924163085835e-14	1	RAD21,SMC1A,RB1,ATR,CDKN2C,CDKN1A,CDKN1B,SMAD2,EP300,CHEK2,CCND1,CDKN2A,SMAD4,ATM,SMC3
CELL DIVISION%REACTOME%R-HSA-68884.6	cell division	2.46532369028147e-05	2.46532369028147e-05	1	SMC3,SMC1A,STAG2,RAD21
CELL FATE COMMITMENT%GOBP%GO:0045165	cell fate commitment	1.38270063026591e-06	1.38270063026591e-06	1	FGFR2,FOXA2,SMAD2,WT1,SMAD4,SOX9,APC,GATA3,TBX3,SOX17
CELL FATE SPECIFICATION%GOBP%GO:0001708	cell fate specification	1.29930417592421e-05	1.29930417592421e-05	1	FOXA2,TBX3,APC,SMAD4,SOX17,SOX9
CELL GROWTH%GOBP%GO:0016049	cell growth	0.0154197329111579	0.0154197329111579	1	CTNNB1,USP9X,SOX9
